cols,importance,model_name,model_target
order_weekend,0.34905962193998674,tree,y_weekday
order_weekday,0.2761061177132684,tree,y_weekday
order,0.050472264205404016,tree,y_weekday
order_takeout,0.034702472703272966,tree,y_weekday
delta_avg,0.030703055406407,tree,y_weekday
order_time_18,0.026427752215596612,tree,y_weekday
order_delivery,0.025113161025712462,tree,y_weekday
order_time_16,0.022258214597413783,tree,y_weekday
order_time_17,0.02088339730922449,tree,y_weekday
order_time_20,0.020049655595411883,tree,y_weekday
order_time_12,0.017861410992024415,tree,y_weekday
order_time_19,0.017271971412164088,tree,y_weekday
order_time_21,0.015859956865351937,tree,y_weekday
order_cancel,0.014512646563602271,tree,y_weekday
order_time_14,0.013365497096312913,tree,y_weekday
order_time_15,0.013227030956256288,tree,y_weekday
order_time_11,0.012552770726097135,tree,y_weekday
order_fin,0.01251115150903062,tree,y_weekday
order_time_13,0.009817905930668766,tree,y_weekday
store_武蔵野店,0.0022517573605246623,tree,y_weekday
store_都筑店,0.002203597325548545,tree,y_weekday
store_市原店,0.002169695828232412,tree,y_weekday
store_北千住店,0.0021332438152338955,tree,y_weekday
store_赤坂店,0.0020986641195700428,tree,y_weekday
store_青梅店,0.001836331104623787,tree,y_weekday
store_石神井店,0.001224220736415858,tree,y_weekday
store_小山店,0.0010358790846595712,tree,y_weekday
store_水戸店,0.0007772830072481651,tree,y_weekday
store_小田原店,0.0007651379602599143,tree,y_weekday
store_逗子店,0.0007481348944763586,tree,y_weekday
store_横浜南店,0.0,tree,y_weekday
store_東松山店,0.0,tree,y_weekday
store_渋谷店,0.0,tree,y_weekday
store_港北店,0.0,tree,y_weekday
store_港南店,0.0,tree,y_weekday
store_瀬谷店,0.0,tree,y_weekday
store_熊谷店,0.0,tree,y_weekday
store_狛江店,0.0,tree,y_weekday
store_狭山店,0.0,tree,y_weekday
store_王子店,0.0,tree,y_weekday
store_清瀬店,0.0,tree,y_weekday
store_町田店,0.0,tree,y_weekday
store_白井店,0.0,tree,y_weekday
store_目黒店,0.0,tree,y_weekday
store_相模原店,0.0,tree,y_weekday
store_東村山店,0.0,tree,y_weekday
store_磯子店,0.0,tree,y_weekday
store_神奈川店,0.0,tree,y_weekday
store_松戸店,0.0,tree,y_weekday
store_板橋店,0.0,tree,y_weekday
store_横浜緑店,0.0,tree,y_weekday
store_江東店,0.0,tree,y_weekday
store_桐生店,0.0,tree,y_weekday
store_横須賀店,0.0,tree,y_weekday
store_武蔵村山店,0.0,tree,y_weekday
store_栄店,0.0,tree,y_weekday
store_福生店,0.0,tree,y_weekday
store_栃木店,0.0,tree,y_weekday
store_江戸川店,0.0,tree,y_weekday
store_池尻店,0.0,tree,y_weekday
store_海老名店,0.0,tree,y_weekday
store_池袋店,0.0,tree,y_weekday
store_泉店,0.0,tree,y_weekday
store_流山店,0.0,tree,y_weekday
store_柏店,0.0,tree,y_weekday
store_浅草店,0.0,tree,y_weekday
store_浦和店,0.0,tree,y_weekday
store_浦安店,0.0,tree,y_weekday
store_神田店,0.0,tree,y_weekday
store_茂原店,0.0,tree,y_weekday
store_秦野店,0.0,tree,y_weekday
store_青葉店,0.0,tree,y_weekday
store_越谷店,0.0,tree,y_weekday
store_足利店,0.0,tree,y_weekday
store_足柄上店,0.0,tree,y_weekday
store_足立店,0.0,tree,y_weekday
store_那珂店,0.0,tree,y_weekday
store_金沢店,0.0,tree,y_weekday
store_銀座店,0.0,tree,y_weekday
store_鎌倉店,0.0,tree,y_weekday
store_青山店,0.0,tree,y_weekday
store_館林店,0.0,tree,y_weekday
store_谷中店,0.0,tree,y_weekday
store_駒沢店,0.0,tree,y_weekday
