cols,importance,model_name,model_target
order_weekend,0.3169993750786329,tree,y_weekday
order_weekday,0.2742210913810085,tree,y_weekday
order_fin,0.07919402079348987,tree,y_weekday
order_time_12,0.031467500355734604,tree,y_weekday
order_cancel,0.030848214685533237,tree,y_weekday
order_time_17,0.030400275793434427,tree,y_weekday
order_takeout,0.02834878810724932,tree,y_weekday
order_time_14,0.02630981767757247,tree,y_weekday
order_time_20,0.019022245502942937,tree,y_weekday
order,0.018324073140069435,tree,y_weekday
order_time_18,0.01769276152424519,tree,y_weekday
order_time_19,0.01695100119063968,tree,y_weekday
order_time_16,0.0157483916942846,tree,y_weekday
order_time_11,0.01551196976357708,tree,y_weekday
order_delivery,0.01396634460325793,tree,y_weekday
delta_avg,0.012708965170706235,tree,y_weekday
order_time_21,0.012209464304738132,tree,y_weekday
order_time_13,0.010628478109394855,tree,y_weekday
order_time_15,0.0045283469015611815,tree,y_weekday
store_東村山店,0.0025397552139351234,tree,y_weekday
store_日本橋店,0.002522187275796455,tree,y_weekday
store_大泉店,0.0024648541964318424,tree,y_weekday
store_高座店,0.0019386745796241335,tree,y_weekday
store_大森店,0.0019014532948029169,tree,y_weekday
store_白井店,0.0018902077151335317,tree,y_weekday
store_昭島店,0.0018415067112009438,tree,y_weekday
store_小金井店,0.0016901857346961204,tree,y_weekday
store_蒲田店,0.0015751730959446093,tree,y_weekday
store_幸店,0.0015367695695128437,tree,y_weekday
store_水戸店,0.0010081107814045504,tree,y_weekday
store_上尾店,0.0009282532663576477,tree,y_weekday
store_佐野店,0.0009265724093791823,tree,y_weekday
store_東松山店,0.0008581964160665047,tree,y_weekday
store_熊谷店,0.0005148624035288093,tree,y_weekday
store_さいたま緑店,0.0004447250850852387,tree,y_weekday
store_神田店,0.00033738647302695497,tree,y_weekday
store_青梅店,0.0,tree,y_weekday
store_狛江店,0.0,tree,y_weekday
store_海老名店,0.0,tree,y_weekday
store_清瀬店,0.0,tree,y_weekday
store_渋谷店,0.0,tree,y_weekday
store_港北店,0.0,tree,y_weekday
store_港南店,0.0,tree,y_weekday
store_高津店,0.0,tree,y_weekday
store_瀬谷店,0.0,tree,y_weekday
store_高崎店,0.0,tree,y_weekday
store_狭山店,0.0,tree,y_weekday
store_王子店,0.0,tree,y_weekday
store_町田店,0.0,tree,y_weekday
store_高島平店,0.0,tree,y_weekday
store_目黒店,0.0,tree,y_weekday
store_高円寺店,0.0,tree,y_weekday
