DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1011,0,0,900,tree,y_weekday
test,0.7887667887667887,0.8027366020524515,0.8073394495412844,0.7981859410430839,352,84,89,294,tree,y_weekday
train,1.0,1.0,1.0,1.0,1011,0,0,900,RandomForest,y_weekday
test,0.796092796092796,0.8095781071835804,0.8142201834862385,0.8049886621315193,355,81,86,297,RandomForest,y_weekday
train,0.859236002093145,0.8683308859520313,0.8773491592482691,0.8594961240310077,887,124,145,755,GradientBoosting,y_weekday
test,0.818070818070818,0.8297142857142856,0.8325688073394495,0.826879271070615,363,73,76,307,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,933,0,0,978,tree,y_weekend
test,0.757020757020757,0.7558282208588957,0.7623762376237624,0.7493917274939172,308,96,103,312,tree,y_weekend
train,1.0,1.0,1.0,1.0,933,0,0,978,RandomForest,y_weekend
test,0.8363858363858364,0.827319587628866,0.7945544554455446,0.8629032258064516,321,83,51,364,RandomForest,y_weekend
train,0.8738880167451596,0.8639186900056466,0.819935691318328,0.9128878281622912,765,168,73,905,GradientBoosting,y_weekend
test,0.8608058608058609,0.8527131782945736,0.8168316831683168,0.8918918918918919,330,74,40,375,GradientBoosting,y_weekend
