DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1144,0,0,903,tree,y_weekday
test,0.7630979498861048,0.791164658634538,0.7911646586345381,0.7911646586345381,394,104,104,276,tree,y_weekday
train,1.0,1.0,1.0,1.0,1144,0,0,903,RandomForest,y_weekday
test,0.7289293849658315,0.7624750499001997,0.7670682730923695,0.7579365079365079,382,116,122,258,RandomForest,y_weekday
train,0.8285295554469956,0.8457142857142856,0.8409090909090909,0.8505747126436781,962,182,169,734,GradientBoosting,y_weekday
test,0.7630979498861048,0.7903225806451614,0.7871485943775101,0.7935222672064778,392,106,102,278,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,1009,0,0,1038,tree,y_weekend
test,0.7334851936218679,0.7227488151658769,0.7261904761904762,0.7193396226415094,305,115,119,339,tree,y_weekend
train,1.0,1.0,1.0,1.0,1009,0,0,1038,RandomForest,y_weekend
test,0.8120728929384966,0.8033373063170443,0.8023809523809524,0.8042959427207638,337,83,82,376,RandomForest,y_weekend
train,0.8534440644846116,0.8481781376518218,0.8305252725470763,0.8665977249224406,838,171,129,909,GradientBoosting,y_weekend
test,0.8416856492027335,0.8323281061519903,0.8214285714285714,0.843520782396088,345,75,64,394,GradientBoosting,y_weekend
