DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,865,0,0,909,tree,y_weekday
test,0.7634691195795007,0.7698209718670076,0.7777777777777778,0.7620253164556962,301,86,94,280,tree,y_weekday
train,1.0,1.0,1.0,1.0,865,0,0,909,RandomForest,y_weekday
test,0.7674113009198423,0.7739463601532567,0.7829457364341085,0.7651515151515151,303,84,93,281,RandomForest,y_weekday
train,0.8511837655016911,0.847926267281106,0.8508670520231214,0.8450057405281286,736,129,135,774,GradientBoosting,y_weekday
test,0.7950065703022339,0.805,0.8320413436692506,0.7796610169491526,322,65,91,283,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,946,0,0,828,tree,y_weekend
test,0.7253613666228647,0.7330779054916986,0.7340153452685422,0.7321428571428571,287,104,105,265,tree,y_weekend
train,1.0,1.0,1.0,1.0,946,0,0,828,RandomForest,y_weekend
test,0.812089356110381,0.8080536912751678,0.7698209718670077,0.8502824858757062,301,90,53,317,RandomForest,y_weekend
train,0.870913190529876,0.8732706142778085,0.8340380549682875,0.9163763066202091,789,157,72,756,GradientBoosting,y_weekend
test,0.8449408672798949,0.8379120879120879,0.7800511508951407,0.9050445103857567,305,86,32,338,GradientBoosting,y_weekend
